,sample_id,sample_id1,region,Depth,Depth_num,Temperature,Salinity,DO,TSSmean,Nitrogen,Carbon,CN,AOB_copies,AOA_copies,nosZ_copies,lat,long
N1_3,N1_3,N_F1_3,north,3,3,15.1,13.99,7.94,1.5346,2.70133,21.93729,8.12093,1934.98033,1011.66815,14287464.12,-42.263108,145.327147
N2_3,N2_3,N_F2_3,north,3,3,15.2,13.99,7.91,1.2,2.70328,20.12393,7.44426,2326.35523,791.09917,17403143.66,-42.256383,145.325014
ocean_3,ocean_3,N_C1_3,north,3,3,16.5,34,7.86,1.09276,1.51212,9.73851,6.44029,559.1972,169.6482,1720325.813,-42.204117,145.210803
KR_3,KR_3,N_C2_3,north,3,3,15.01,1,8.25,6.2,2.98363,35.17097,11.788,343.45952,204.71955,2369787.362,-42.192733,145.3661
N3_3,N3_3,N_C3_3,north,3,3,15.01,12.53,8.25,2.78175,2.45004,23.75688,9.69652,1784.8007,702.56868,13119551.64,-42.206783,145.321697
N4_3,N4_3,N_T1_3,north,3,3,15.1,12.42,8.04,2.23446,2.5335,19.73143,7.7882,2604.01667,398.8259,16485124.44,-42.246,145.327528
N5_3,N5_3,N_T2_3,north,3,3,15.3,13,7.56,1.58333,NA,NA,NA,2357.0872,761.04217,15513596.45,-42.251631,145.325275
N6_3,N6_3,N_T3_3,north,3,3,15,12,8.68,1.4,1.97215,14.90327,7.55686,1852.9462,482.07201,11682024.09,-42.255656,145.324908
C1_3,C1_3,C_C1_3,central,3,3,15.18,13.4,8.33,1.71439,2.41076,18.58867,7.71072,2600.8219,1309.44755,25391455.79,-42.305536,145.401894
C2_3,C2_3,C_C2_3,central,3,3,14.94,13.15,8.51,3.63358,1.30738,11.33768,8.67208,4083.96159,1831.67891,41997283.86,-42.317883,145.334269
C3_3,C3_3,C_C3_3,central,3,3,14.91,14.67,8.13,1.29814,2.09264,16.68992,7.97554,2294.62151,1205.15289,15170427.02,-42.255931,145.348436
C4_3,C4_3,C_F1_3,central,3,3,14.97,12.68,8.24,1.75076,2.39955,22.26649,9.27945,1442.23998,671.10556,14335682.01,-42.319947,145.382669
C5_3,C5_3,C_F2_3,central,3,3,15.04,12.26,8.34,2.21968,2.1988,17.53151,7.97322,3058.00484,1341.9155,32717810.29,-42.315975,145.378831
S1_3,S1_3,S_F1_3,south,3,3,15.32,10.76,8.31,8.83938,1.17816,9.94136,8.438,1131.04677,618.80435,14674438.14,-42.343019,145.407303
S1_8,S1_8,S_F1_8,south,8,8,15.51,25.05,5.35,4.8625,0.41852,2.97247,7.10236,2638.37909,11016.75548,20250427.37,-42.343019,145.407303
S1_20,S1_20,S_F1_20,south,20,20,14.9,30.9,1.23,5.53261,0.25683,1.53424,5.97378,274.40708,6566.0795,1162771.111,-42.343019,145.407303
S1_30,S1_30,S_F1_30,south,30,30,15.19,31.26,1.37,3.33031,1.11815,11.22138,10.03566,1807.82752,16555.89878,5104456.78,-42.343019,145.407303
S2_3,S2_3,S_F2_3,south,3,3,14.75,11.64,8.31,2.1,2.60716,23.99221,9.20244,123.78755,69.86627,1665873.591,-42.345325,145.40855
S2_8,S2_8,S_F2_8,south,8,8,15.47,24,4.74,1.25,2.3742,17.55445,7.39383,584.75848,4663.87771,1780475.643,-42.345325,145.40855
S2_20,S2_20,S_F2_20,south,20,20,14.84,30.85,1.1,2.2995,1.04156,8.1316,7.80716,495.72586,9682.434,3838145.775,-42.345325,145.40855
S2_30,S2_30,S_F2_30,south,30,30,15.18,31.25,0.96,1.1375,2.03634,14.01889,6.88437,979.45999,11452.70667,6097675.068,-42.345325,145.40855
GR_3,GR_3,S_C1_3,south,3,3,13.22,3.32,9.59,4.43978,1.42468,14.01256,9.83556,1983.71196,449.44727,12780680.55,-42.437656,145.515075
GR_8,GR_8,S_C1_8,south,8,8,15.24,18.21,7.31,4.2125,0.52201,4.03582,7.73134,938.67031,1417.57553,14031944.62,-42.437656,145.515075
S3_3,S3_3,S_C2_3,south,3,3,14.6,10.19,8.41,2.3584,1.88598,20.34444,10.7872,1352.15988,962.23117,17684138.3,-42.373533,145.471
S3_8,S3_8,S_C2_8,south,8,8,15.5,25.66,4.79,0.8875,1.68521,11.33947,6.72881,1662.05485,4459.42003,6783004.965,-42.373533,145.471
S3_20,S3_20,S_C2_20,south,20,20,14.96,30.98,1.13,1.8875,1.0229,6.75566,6.60444,593.45392,13577.35308,3557383.32,-42.373533,145.471
S3_30,S3_30,S_C2_30,south,30,30,15.17,31.24,1.36,1.1,1.37839,10.33934,7.50102,509.31982,9935.59308,2021175.244,-42.373533,145.471
S4_3,S4_3,S_T1_3,south,3,3,14.68,11.54,8.3,1.975,1.7232,12.9214,7.49848,1542.56496,1085.7364,25505409.59,-42.346208,145.409222
S4_8,S4_8,S_T1_8,south,8,8,15.45,23.47,6.17,1.20121,1.41274,9.11646,6.45301,1755.14998,4818.24416,9387061.558,-42.346208,145.409222
S4A_20,S4A_20,S_T1A_20,south,20,20,14.83,30.83,1.2,0.825,1.40574,9.0835,6.46171,1356.79215,14588.80413,6587929.827,-42.346208,145.409222
S4B_20,S4B_20,S_T1B_20,south,20,20,14.83,30.83,1.2,0.825,NA,NA,NA,1085.57564,11242.96157,5890825.315,-42.346208,145.409222
S4_30,S4_30,S_T1_30,south,30,30,15.18,31.25,1.16,1.0375,1.48251,9.70604,6.54702,783.68609,7793.39011,4962069.37,-42.346208,145.409222
S5_3,S5_3,S_T2_3,south,3,3,14.48,11.2,8.53,1.51266,1.90429,16.54709,8.6894,1303.44714,586.76276,16877038.81,-42.34895,145.412969
S5_8,S5_8,S_T2_8,south,8,8,15.46,23.47,5.91,1.86667,1.20276,9.78537,8.13576,1899.65716,5062.02808,7028829.874,-42.34895,145.412969
S5_30,S5_30,S_T2_30,south,30,30,15.21,31.26,1.41,3.874,0.9696,14.63864,15.09762,3269.84556,55785.77725,8331791.819,-42.34895,145.412969
S6_3,S6_3,S_T3_3,south,3,3,14.84,10.61,8.38,2.175,1.35359,9.51894,7.03235,2505.75379,1728.6515,21813108.43,-42.353469,145.415953
S6_8,S6_8,S_T3_8,south,8,8,15.48,24,5.74,0.9875,2.77401,20.2649,7.30526,4711.076,5926.55017,7735617.233,-42.353469,145.415953
S6_20,S6_20,S_T3_20,south,20,20,14.81,30.71,1.22,1.0375,1.16839,7.11491,6.08947,2758.43597,46416.91258,8663698.245,-42.353469,145.415953
S6_30,S6_30,S_T3_30,south,30,30,15.11,31.17,1.36,5.9875,0.44235,2.77783,6.27967,1223.13461,13010.2585,4220038.59,-42.353469,145.415953
