sample_id,lat,long,region
N1_3,-42.263108,145.327147,north
N2_3,-42.256383,145.325014,north
ocean_3,-42.204117,145.210803,north
KR_3,-42.192733,145.3661,north
N3_3,-42.206783,145.321697,north
N4_3,-42.246,145.327528,north
N5_3,-42.251631,145.325275,north
N6_3,-42.255656,145.324908,north
C1_3,-42.305536,145.401894,central
C2_3,-42.317883,145.334269,central
C3_3,-42.255931,145.348436,central
C4_3,-42.319947,145.382669,central
C5_3,-42.315975,145.378831,central
S1_3,-42.343019,145.407303,south
S1_8,-42.343019,145.407303,south
S1_20,-42.343019,145.407303,south
S1_30,-42.343019,145.407303,south
S2_3,-42.345325,145.40855,south
S2_8,-42.345325,145.40855,south
S2_20,-42.345325,145.40855,south
S2_30,-42.345325,145.40855,south
GR_3,-42.437656,145.515075,south
GR_8,-42.437656,145.515075,south
S3_3,-42.373533,145.471,south
S3_8,-42.373533,145.471,south
S3_20,-42.373533,145.471,south
S3_30,-42.373533,145.471,south
S4_3,-42.346208,145.409222,south
S4_8,-42.346208,145.409222,south
S4A_20,-42.346208,145.409222,south
S4B_20,-42.346208,145.409222,south
S4_30,-42.346208,145.409222,south
S5_3,-42.34895,145.412969,south
S5_8,-42.34895,145.412969,south
S5_30,-42.34895,145.412969,south
S6_3,-42.353469,145.415953,south
S6_8,-42.353469,145.415953,south
S6_20,-42.353469,145.415953,south
S6_30,-42.353469,145.415953,south
